rank;uri;artist_names;track_name;source;streams;date;country
1;spotify:track:2eLe81VDUQ5f0xFfc9cMWz;sokodomo, Zion.T, Wonstein;MERRY-GO-ROUND (Feat. Zion.T, Wonstein) (Prod. Slom);Genie Music Corporation;12331;2022-1-1;Korea
1;spotify:track:186NCtNk1tUYS7c2DxgJ7O;V;Christmas Tree;MOST CONTENTS;9536;2022-2-1;Korea
1;spotify:track:7rXcCpIAoOUCydkVDMcoPV;TAEYEON;INVU;SM Entertainment;13162;2022-3-1;Korea
1;spotify:track:2oBMZYteeO8DyXV9gDx6Za;Red Velvet;Feel My Rhythm;SM Entertainment;23560;2022-4-1;Korea
1;spotify:track:0Q5VnK2DYzRyfqQRJuUtvi;IVE;LOVE DIVE;STARSHIP Entertainment;24359;2022-5-1;Korea
1;spotify:track:0Q5VnK2DYzRyfqQRJuUtvi;IVE;LOVE DIVE;STARSHIP Entertainment;19818;2022-6-1;Korea
1;spotify:track:0mBP9X2gPCuapvpZ7TGDk3;Charlie Puth, Jung Kook, BTS;Left and Right (Feat. Jung Kook of BTS);Atlantic Records;29254;2022-7-1;Korea
1;spotify:track:2pIUpMhHL6L9Z5lnKxJJr9;NewJeans;Attention;ADOR;28047;2022-8-1;Korea
1;spotify:track:2gYj9lubBorOPIVWsTXugG;IVE;After LIKE;Starship Entertainment;60635;2022-9-1;Korea
1;spotify:track:7ncPjJBktLEOpstY5JOUMK;King Gnu;一途;Sony Music Labels Inc.;180289;2022-1-1;Japan
1;spotify:track:5W7Y92LB4jWvu9NeEQ0GZl;Macaroni Empitsu;なんでもないよ、;Toy's Factory;249516;2022-2-1;Japan
1;spotify:track:7v8wKvNQQIxkugCFFjrkaO;Aimer;残響散歌;Sony Music Labels Inc.;232789;2022-3-1;Japan
1;spotify:track:4JK1kDUdH9RTBQrrSO1QfR;Yuuri;ベテルギウス;Sony Music Labels Inc.;198173;2022-4-1;Japan
1;spotify:track:4IfrM44LofE9bSs6TDZS49;Tani Yuuki;W / X / Y;Valley Records;253184;2022-5-1;Japan
1;spotify:track:4IfrM44LofE9bSs6TDZS49;Tani Yuuki;W / X / Y;Valley Records;234092;2022-6-1;Japan
1;spotify:track:60ReNXcPcsVFd7nUuQw5HZ;Official HIGE DANdism;Mixed Nuts;IRORI Records;219087;2022-7-1;Japan
1;spotify:track:4IfrM44LofE9bSs6TDZS49;Tani Yuuki;W / X / Y;Valley Records;238869;2022-8-1;Japan
1;spotify:track:28MATCYDctW5EiBa2repxb;Ado;新時代;Universal Music LLC;394863;2022-9-1;Japan
